Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
20-FP-HUU-0137,Siskiyou,1,1,California Department of Forestry and Fire Protection,180620,0,,,,12.104156192274903,0,0,0
20-FP-HUU-0282,North Coast Unified,1,1,California Department of Forestry and Fire Protection,871214,0,,,,13.67764406808352,0,0,0
20-FP-HUU-1200,North Coast Unified,1,1,California Department of Forestry and Fire Protection,200000,0,,,,12.206077645517674,0,0,0
20-FP-KRN-0074,Kern,1,1,California Department of Forestry and Fire Protection,50400,0,,,,10.827766295132466,0,0,0
20-FP-KRN-0075,Kern,1,1,California Department of Forestry and Fire Protection,63078,0,,,,11.052143188066092,0,0,0
20-FP-KRN-0076,Kern,1,1,California Department of Forestry and Fire Protection,291200,0,,,,12.581769029364706,0,0,0
20-FP-KRN-0077,Kern,1,1,California Department of Forestry and Fire Protection,268800,0,,,,12.501726607862306,0,0,0
20-FP-KRN-0080,Kern,1,1,California Department of Forestry and Fire Protection,77565,0,,,,11.25888446582814,0,0,0
20-FP-KRN-0081,Kern,1,1,California Department of Forestry and Fire Protection,114446,0,,,,11.647867112717373,0,0,0
20-FP-KRN-0211,Kern,1,1,California Department of Forestry and Fire Protection,1328486,0,,,,14.09955125866179,0,0,0
20-FP-LAC-0088,South Coast,1,1,California Department of Forestry and Fire Protection,617862,0,,,,13.334022029016657,0,0,1
20-FP-LAC-0139,South Coast,1,1,California Department of Forestry and Fire Protection,78562,0,,,,11.271656129671937,0,0,1
20-FP-LAC-0180,Antelope Valley,1,1,California Department of Forestry and Fire Protection,611597,0,,,,13.323830482920513,0,0,0
20-FP-LAC-0266,Antelope Valley,1,1,California Department of Forestry and Fire Protection,146657,0,,,,11.895858624571307,0,0,0
20-FP-LAC-0274,South Coast,1,1,California Department of Forestry and Fire Protection,4796729,0,,,,15.383444993721895,0,0,1
20-FP-LAC-0314,South Coast,1,1,California Department of Forestry and Fire Protection,161491,0,,,,11.992210884814204,0,0,1
20-FP-LAC-0414,South Coast,1,1,California Department of Forestry and Fire Protection,42875,0,,,,10.66606750781141,0,0,1
20-FP-LAC-0426,South Coast,1,1,California Department of Forestry and Fire Protection,65000,0,,,,11.082157933374816,0,0,1
20-FP-LAC-0442,South Coast,1,1,California Department of Forestry and Fire Protection,389740,0,,,,12.87323769492794,0,0,1
20-FP-LAC-0448,South Coast,1,1,California Department of Forestry and Fire Protection,249250,0,,,,12.426215699852145,0,0,1
20-FP-LAC-0480,South Coast,1,1,California Department of Forestry and Fire Protection,133740,0,,,,11.803660372774573,0,0,1
20-FP-LNU-0095,Lake,1,1,California Department of Forestry and Fire Protection,503224,0,,,,13.128792665169232,0,0,0
20-FP-LNU-0296,Bay Area,1,1,California Department of Forestry and Fire Protection,934286,0,,,,13.74753895052391,0,0,0
20-FP-LNU-0312,Bay Area,1,1,California Department of Forestry and Fire Protection,900000,0,,,,13.710151153416941,0,0,0
20-FP-MEU-0019,Mendocino,1,1,California Department of Forestry and Fire Protection,567596,0,,,,13.249166938841794,0,0,0
20-FP-MMU-0036,Mariposa,1,1,California Department of Forestry and Fire Protection,267842,0,,,,12.498156266937366,0,0,0
20-FP-MMU-0051,Mariposa,1,1,California Department of Forestry and Fire Protection,702118,0,,,,13.461858184311307,0,0,0
20-FP-MMU-0311,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,247842,0,,,,12.420550760161039,0,0,0
20-FP-MRN-0443,Bay Area,1,1,California Department of Forestry and Fire Protection,293040,0,,,,12.588067809950285,0,0,0
20-FP-MRN-0469,Bay Area,1,1,California Department of Forestry and Fire Protection,580700,0,,,,13.271991273418243,0,0,0
20-FP-MRN-0479,Bay Area,1,1,California Department of Forestry and Fire Protection,550957,0,,,,13.219413860184403,0,0,0
20-FP-MVU-0062,San Diego,1,1,California Department of Forestry and Fire Protection,401678,0,,,,12.903408541161573,0,0,1
20-FP-MVU-0247,San Diego,1,1,California Department of Forestry and Fire Protection,181539,0,,,,12.109231294080619,0,0,1
20-FP-MVU-0318,San Diego,1,1,California Department of Forestry and Fire Protection,24800,0,,,,10.118639253920785,0,0,1
20-FP-NEU-0242,Northern Sierra,1,1,California Department of Forestry and Fire Protection,952610,0,,,,13.766961914626338,0,0,0
20-FP-NEU-0254,Placer,1,1,California Department of Forestry and Fire Protection,31898,0,,,,10.370329940319197,0,0,0
20-FP-ORC-0132,South Coast,1,1,California Department of Forestry and Fire Protection,866610,0,,,,13.672345481491487,0,0,1
20-FP-ORC-0381,South Coast,1,1,California Department of Forestry and Fire Protection,436462,0,,,,12.986458885491475,0,0,1
20-FP-RRU-0021,South Coast,1,1,California Department of Forestry and Fire Protection,750000,0,,,,13.527829818844937,0,0,1
20-FP-RRU-0124,South Coast,1,1,California Department of Forestry and Fire Protection,1258003,0,,,,14.045036895887707,0,0,1
20-FP-RRU-0221,South Coast,1,1,California Department of Forestry and Fire Protection,150417,0,,,,11.921173364187759,0,0,1
20-FP-RRU-0343,South Coast,1,1,California Department of Forestry and Fire Protection,378000,0,,,,12.84265212010087,0,0,1
20-FP-SBC-0020,Santa Barbara,1,1,California Department of Forestry and Fire Protection,385840,0,,,,12.86318064648737,0,0,0
20-FP-SBC-0255,Santa Barbara,1,1,California Department of Forestry and Fire Protection,686094,0,,,,13.438771381085017,0,0,0
20-FP-SBC-0458,Santa Barbara,1,1,California Department of Forestry and Fire Protection,12964,0,,,,9.470008697972764,0,0,0
20-FP-SCU-0119,Bay Area,1,1,California Department of Forestry and Fire Protection,493850,0,,,,13.109989131240571,0,0,0
20-FP-SCU-0160,Bay Area,1,1,California Department of Forestry and Fire Protection,773929,0,,,,13.5592367092055,0,0,0
20-FP-SCU-0244,Bay Area,1,1,California Department of Forestry and Fire Protection,224000,0,,,,12.319405795112926,0,0,0
20-FP-SHU-0031,North Coast Unified,1,1,California Department of Forestry and Fire Protection,2119488,0,,,,14.566685579858083,0,0,0
20-FP-SHU-0038,Shasta,1,1,California Department of Forestry and Fire Protection,26000,0,,,,10.165890277802454,0,0,0
20-FP-SKU-0135,Siskiyou,1,1,California Department of Forestry and Fire Protection,377841,0,,,,12.842231397801807,0,0,0
20-FP-SKU-0197,Siskiyou,1,1,California Department of Forestry and Fire Protection,581034,0,,,,13.27256627498349,0,0,0
20-FP-SKU-0198,Siskiyou,1,1,California Department of Forestry and Fire Protection,242900,0,,,,12.400409231902334,0,0,0
20-FP-SLU-0055,San Luis Obispo,1,1,California Department of Forestry and Fire Protection,385179,0,,,,12.861466036478204,0,0,0
20-FP-TCU-0102,Calaveras,1,1,California Department of Forestry and Fire Protection,440608,0,,,,12.995913139832634,0,0,0
20-FP-TCU-0105,Tuolumne,1,1,California Department of Forestry and Fire Protection,405462,0,,,,12.912784902998414,0,0,0
20-FP-TCU-0131,Tuolumne,1,1,California Department of Forestry and Fire Protection,2207867,0,,,,14.607537901983376,0,0,0
20-FP-TCU-0174,Tuolumne,1,1,California Department of Forestry and Fire Protection,297869,0,,,,12.604412428695749,0,0,0
20-FP-TCU-0321,Tuolumne,1,1,California Department of Forestry and Fire Protection,362384,0,,,,12.800462461565864,0,0,0
20-FP-TCU-0323,Tuolumne,1,1,California Department of Forestry and Fire Protection,157146,0,,,,11.964936952002136,0,0,0
20-FP-TCU-0385,Tuolumne,1,1,California Department of Forestry and Fire Protection,389043,0,,,,12.871447726743915,0,0,0
20-FP-TGU-0138,Tehama,1,1,California Department of Forestry and Fire Protection,4989289,0,,,,15.422804173035153,0,0,0
20-FP-TGU-0224,Tehama,1,1,California Department of Forestry and Fire Protection,180000,0,,,,12.100717685412471,0,0,0
20-FP-TGU-0289,Glenn,1,1,California Department of Forestry and Fire Protection,409586,0,,,,12.922904613922515,0,0,0
20-FP-TUU-0391,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,265870,0,,,,12.490766507725521,0,0,0
20-FP-TUU-0393,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,389371,0,,,,12.872290463839278,0,0,0
20-FP-TUU-0425,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,248987,0,,,,12.425159981514451,0,0,0
20-FP-VNC-0026,Ventura,1,1,California Department of Forestry and Fire Protection,492970,0,,,,13.108205627765244,0,0,1
20-FP-VNC-0173,Ventura,1,1,California Department of Forestry and Fire Protection,2704389,0,,,,14.810386936513964,0,0,1
20-FP-VNC-0342,Ventura,1,1,California Department of Forestry and Fire Protection,187500,0,,,,12.141539457711714,0,0,1
20-FP-VNC-0466,Ventura,1,1,California Department of Forestry and Fire Protection,299304,0,,,,12.60921839934776,0,0,1
20-SAC-SAC-001,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,13864977,0,,,,16.444876650301584,0,0,0
2014-408,San Joaquin Valley Unified,1,1,California Department of Resources Recycling and Recovery,890000,368550,0.0,2.4148690815357483,0.0,13.698977865303197,0,0,0
2015-01,Antelope Valley,1,1,California State Transportation Agency,24403000,185206,24403000.0,131.7613900197618,1.0,17.010216674503837,0,0,0
2015-03,South Coast,1,1,California State Transportation Agency,38494000,104946,38494000.0,366.7981628647114,1.0,17.46601296893528,0,0,1
2015-05,Monterey Bay Unified,1,1,California State Transportation Agency,10000000,9964,10000000.0,1003.6130068245684,1.0,16.118095750958314,0,0,0
2015-07,Sacramento Metro,1,1,California State Transportation Agency,6427000,18062,6427000.0,355.8299191673126,1.0,15.676018579947002,0,0,0
2015-09,San Diego,1,1,California State Transportation Agency,713000,269,713000.0,2650.557620817844,1.0,13.477238101919994,0,0,1
2015-10,Bay Area,1,1,California State Transportation Agency,41181000,24429,41181000.0,1685.7423553972737,1.0,17.53348756718495,0,0,0
2015-11,San Joaquin Valley Unified,1,1,California State Transportation Agency,15000,14562,15000.0,1.0300782859497322,1.0,9.61587214452889,0,0,0
2015-12,San Joaquin Valley Unified,1,1,California State Transportation Agency,6841000,15098,6841000.0,453.10637170486154,1.0,15.738444623920584,0,0,0
2015-13,South Coast,1,1,California State Transportation Agency,41181000,137395,41181000.0,299.7270643036501,1.0,17.53348756718495,0,0,1
2015-422,Butte,1,1,California Department of Resources Recycling and Recovery,833000,13870,833000.0,60.05767844268205,1.0,13.632790121628451,0,0,0
2016-02,Bay Area,2,2,California State Transportation Agency,886000,258,886000.0,3434.108527131783,1.0,13.694473358254752,1,0,0
2016-03,South Coast,1,1,California State Transportation Agency,5000000,609,0.0,8210.180623973727,0.0,15.424948670398354,0,0,1
2016-06,South Coast,1,1,California State Transportation Agency,1671000,22704,1671000.0,73.59936575052853,1.0,14.328933406021397,0,0,1
2016-07,San Diego,2,2,California State Transportation Agency,49995000,369660,49995000.0,135.24590163934425,1.0,17.727433578394088,1,0,1
2016-08,South Coast,1,1,California State Transportation Agency,2414000,11013,2414000.0,219.19549623172614,1.0,14.696796094889736,0,0,1
2016-11,South Coast,1,1,California State Transportation Agency,9204000,83022,9204000.0,110.86218110862181,1.0,16.0351488387858,0,0,1
2016-12,Bay Area,1,1,California State Transportation Agency,45092000,161000,45092000.0,280.0745341614907,1.0,17.624215427323442,0,0,0
2016-IAE-ELPA,South Coast,1,1,California Strategic Growth Council,215147,0,0.0,,0.0,12.279081442383427,0,0,1
2016-IAE-SCAG,South Coast,1,1,California Strategic Growth Council,189948,0,0.0,,0.0,12.154510894058612,0,0,1
2016-IAE-SJCOG,San Joaquin Valley Unified,1,1,California Strategic Growth Council,94493,0,0.0,,0.0,11.456291619402636,0,0,0
2016-IAE-UCD,Yolo-Solano,1,1,California Strategic Growth Council,100000,0,0.0,,0.0,11.51293546492023,0,0,0
2017-IAE-ECP,Bay Area,1,1,California Strategic Growth Council,360000,0,0.0,,0.0,12.793862088206213,0,0,0
2017-IAE-ELA,South Coast,1,1,California Strategic Growth Council,240000,0,0.0,,0.0,12.388398368982115,0,0,1
2017_01,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,285688,0,,,,12.56265908555255,0,0,0
2017_02,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,125810,0,,,,11.742536059807348,0,0,0
2018-04,Bay Area,1,1,California State Transportation Agency,141267000,4748924,,29.747159567093515,,18.76616228180996,0,0,0
2018-05,Bay Area,1,1,California State Transportation Agency,11502000,435404,,26.4168450450616,,16.258031578197233,0,0,0
2018-06,San Joaquin Valley Unified,1,1,California State Transportation Agency,107000,320,,334.375,,11.580593459194764,0,0,0
2018-07,South Coast,1,1,California State Transportation Agency,16008000,196000,,81.6734693877551,,16.58859921771447,0,0,1
2018-09,Bay Area,1,1,California State Transportation Agency,9089000,0,,,,16.022575559124007,0,0,0
2018-11,San Diego,1,1,California State Transportation Agency,10307000,550275,,18.73063468265867,,16.148333931040366,0,0,1
2018-12,Ventura,2,1,California State Transportation Agency,1899000,33640,,56.45065398335315,,14.456838516387228,1,0,1
2018-15,South Coast,1,1,California State Transportation Agency,1330000,3587,,370.7833844438249,,14.100690252077353,0,0,1
2018-18,Bay Area,1,1,California State Transportation Agency,11912000,156000,,76.35897435897436,,16.29305693729494,0,0,0
2018-19,Sacramento Metro,2,3,California State Transportation Agency,2101000,20668,,101.65473195277724,,14.55792445579085,1,0,0
2018-21,Santa Barbara,1,1,California State Transportation Agency,133000,217,,612.9032258064516,,11.798111925972618,0,0,0
2018-22,Santa Barbara,1,1,California State Transportation Agency,266000,3431,,77.52841737102885,,12.491255347155265,0,0,0
2018-25,Bay Area,1,1,California State Transportation Agency,499000,5013,,99.54119289846399,,13.120363378739663,0,0,0
2018-27,South Coast,2,3,California State Transportation Agency,1965000,28570,,68.77843892194609,,14.491003312191221,1,0,1
2018-442,South Coast,1,1,California Department of Resources Recycling and Recovery,2000000,13875,,144.14414414414415,,14.508658238524095,0,0,1
2018-449,San Joaquin Valley Unified,1,1,California Department of Resources Recycling and Recovery,2000000,289200,,6.915629322268327,,14.508658238524095,0,0,0
2018-IAE-ECP,Bay Area,1,1,California Strategic Growth Council,450000,0,,,,13.017005083966255,0,0,0
2018-IAE-ELA,South Coast,1,1,California Strategic Growth Council,90462,0,,,,11.412696206311244,0,0,1
2018-IAE-GMA,Butte,1,1,California Strategic Growth Council,50477,0,,,,10.829292876778869,0,0,0
2018125,Sacramento Metro,1,1,California Wildlife Conservation Board,118000,0,,,,11.678448377988165,0,0,0
2018CCRP0013,San Luis Obispo,1,1,California Strategic Growth Council,471681,0,,,,13.064060308696886,0,0,0
2018CCRP0017,Yolo-Solano,1,1,California Strategic Growth Council,2407687,0,,,,14.694177508909863,0,0,0
2018CCRP0022,Bay Area,1,1,California Strategic Growth Council,657227,0,,,,13.395786269228553,0,0,0
2018CCRP0023,Monterey Bay Unified,1,1,California Strategic Growth Council,373245,0,,,,12.829992998666183,0,0,0
2018CCRP0028,Bay Area,1,1,California Strategic Growth Council,558905,0,,,,13.23373658057322,0,0,0
2018CCRP0047,Bay Area,1,1,California Strategic Growth Council,993275,0,,,,13.808763850026917,0,0,0
2018CCRP0051,Bay Area,1,1,California Strategic Growth Council,825816,0,,,,13.624128478320564,0,0,0
2018CCRP0056,South Coast,1,1,California Strategic Growth Council,1431639,0,,,,14.174331198249249,0,0,1
2018CCRP0057,South Coast,1,1,California Strategic Growth Council,588590,0,,,,13.28548682414473,0,0,1
2018CCRP0061,San Diego,1,1,California Strategic Growth Council,1790000,0,,,,14.397726736475999,0,0,1
2018_01,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,201594,0,,,,12.214016013284484,0,0,0
2018_02,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,112306,0,,,,11.62899147182042,0,0,0
2018_03,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,23337,0,,,,10.057838212366052,0,0,0
2018_04,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,79549,0,,,,11.284141033765932,0,0,0
2019-460,San Joaquin Valley Unified,1,1,California Department of Resources Recycling and Recovery,2000000,86585,,23.098689149390772,,14.508658238524095,0,0,0
2019-IAE-ECP,Bay Area,1,1,California Strategic Growth Council,600000,0,,,,13.304686600863562,0,0,0
2019017,Sacramento Metro,1,1,California Wildlife Conservation Board,400000,0,,,,12.899222326086994,0,0,0
2019035,Northern Sierra,1,1,California Wildlife Conservation Board,293000,0,,,,12.587931300962664,0,0,0
2019036,Yolo-Solano,1,1,California Wildlife Conservation Board,512000,0,,,,13.146081857144738,0,0,0
2019037,Bay Area,1,1,California Wildlife Conservation Board,260000,0,,,,12.468440756144114,0,0,0
2019038,Northern Sierra,1,1,California Wildlife Conservation Board,120000,0,,,,11.695255355062795,0,0,0
2019066,Siskiyou,1,1,California Wildlife Conservation Board,2500000,0,,,,14.731801689838349,0,0,0
2019068,Sacramento Metro,1,1,California Wildlife Conservation Board,1036442,0,,,,13.851305216581704,0,0,0
2019074,North Coast Unified,1,1,California Wildlife Conservation Board,1500000,0,,,,14.220976332738882,0,0,0
2019076,Siskiyou,1,1,California Wildlife Conservation Board,630000,0,,,,13.353476685668044,0,0,0
2019077,Lassen,1,1,California Wildlife Conservation Board,950000,100698,,9.434149635543903,,13.76421831620775,0,0,0
2019086,Sacramento Metro,1,1,California Wildlife Conservation Board,197000,0,,,,12.190964083849375,0,0,0
2019089,Sacramento Metro,1,1,California Wildlife Conservation Board,144113,0,,,,11.87835993202204,0,0,0
2019107,Bay Area,1,1,California Wildlife Conservation Board,1250000,5690,,219.6836555360281,,14.038654909278163,0,0,0
2019109,Monterey Bay Unified,1,1,California Wildlife Conservation Board,248020,0,,,,12.421268698981544,0,0,0
2019126,San Joaquin Valley Unified,1,1,California Wildlife Conservation Board,181000,0,,,,12.10625783509458,0,0,0
2019CCR20007,Bay Area,1,1,California Strategic Growth Council,4539833,0,,,,15.328401005472404,0,0,0
2019CCR20013,Bay Area,1,1,California Strategic Growth Council,4728345,0,,,,15.369086016439539,0,0,0
2019CCR20014,San Joaquin Valley Unified,1,1,California Strategic Growth Council,2411267,0,,,,14.695663308181988,0,0,0
2019CCR20021,South Coast,1,1,California Strategic Growth Council,4575843,0,,,,15.336301720551571,0,0,1
2019CCR30002,Bay Area,1,1,California Strategic Growth Council,990350,0,,,,13.805814704728931,0,0,0
2019CCR30009,South Coast,1,1,California Strategic Growth Council,990350,0,,,,13.805814704728931,0,0,1
2019CCR30012,Monterey Bay Unified,1,1,California Strategic Growth Council,722777,0,,,,13.490857400048279,0,0,0
2019CCR30016,North Coast Unified,1,1,California Strategic Growth Council,445088,0,,,,13.006029541151044,0,0,0
2019CCR30017,South Coast,1,1,California Strategic Growth Council,732859,0,,,,13.504709966719517,0,0,1
2019CCR30034,Bay Area,1,1,California Strategic Growth Council,868528,0,,,,13.67455625500969,0,0,0
2019_01,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,1097253,0,,,,13.908321253021166,0,0,0
2019_02,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,220660,0,,,,12.304382866162996,0,0,0
2019_03,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,92483,0,,,,11.434790935565994,0,0,0
2019_04,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,312922,0,,,,12.653712432867978,0,0,0
2020-02,Bay Area,1,1,California State Transportation Agency,107100000,2222649,,48.18574592749462,,18.489273544755044,0,0,0
2020-03,Sacramento Metro,1,1,California State Transportation Agency,1597000,39414,,40.51859745268179,,14.28363805337103,0,0,0
2020-04,South Coast,1,1,California State Transportation Agency,10000000,161474,,61.92947471419547,,16.118095750958314,0,0,1
2020-06,South Coast,1,1,California State Transportation Agency,3225000,8384,,384.66125954198475,,14.986443818289482,0,0,1
2020-08,San Diego,3,2,California State Transportation Agency,331000,100778,,3.284447002321935,,12.709876675502672,1,0,1
2020-10,South Coast,1,1,California State Transportation Agency,15000000,31788,,471.87617969044925,,16.52356082573315,0,0,1
2020-11,San Diego,1,1,California State Transportation Agency,3240000,34000,,95.29411764705883,,14.99108419641044,0,0,1
2020-13,South Coast,1,1,California State Transportation Agency,552000,18131,0.0,30.44509403783575,0.0,13.221305136851795,0,0,1
2020-14,Bay Area,1,1,California State Transportation Agency,500000,12932,,38.66377977111043,,13.122365377402328,0,0,0
2020-16,San Joaquin Valley Unified,1,1,California State Transportation Agency,1556000,-5573,,,,14.25762962639379,0,0,0
2020-17,,0,1,California State Transportation Agency,237000,107964,,2.1951761698343892,,12.37581963951765,0,0,0
2020-Fuels-Crews-Totals,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,30019000,0,,,,17.217341105801083,0,0,0
2020-IAE-ECP,Bay Area,1,1,California Strategic Growth Council,1400000,0,,,,14.151983508870947,0,0,0
2020100,Northern Sierra,1,1,California Wildlife Conservation Board,310000,0,,,,12.644330802262578,0,0,0
2020101,Monterey Bay Unified,1,1,California Wildlife Conservation Board,2000000,0,,,,14.508658238524095,0,0,0
2020102,,0,1,California Wildlife Conservation Board,360000,0,,,,12.793862088206213,0,0,0
2020104,San Luis Obispo,1,1,California Wildlife Conservation Board,415000,0,,,,12.936036208848487,0,0,0
2020105,Northern Sierra,1,1,California Wildlife Conservation Board,1289600,0,,,,14.069843426168443,0,0,0
2020106,Shasta,1,1,California Wildlife Conservation Board,815000,24063,,33.86942608984749,,13.610944619216111,0,0,0
2020112,North Coast Unified,1,1,California Wildlife Conservation Board,309400,0,,,,12.642393449177936,0,0,0
2020114,Tuolumne,1,1,California Wildlife Conservation Board,300000,0,,,,12.611541086966115,0,0,0
2020120,El Dorado,1,1,California Wildlife Conservation Board,334800,0,,,,12.721291604450823,0,0,0
2020170,San Joaquin Valley Unified,1,1,California Wildlife Conservation Board,272000,0,,,,12.513561021741964,0,0,0
2020171,San Joaquin Valley Unified,1,1,California Wildlife Conservation Board,170000,0,,,,12.04355959836804,0,0,0
2020172,San Luis Obispo,1,1,California Wildlife Conservation Board,120000,0,,,,11.695255355062795,0,0,0
2021002,San Joaquin Valley Unified,1,1,California Wildlife Conservation Board,299000,0,,,,12.608202196848836,0,0,0
2022 Conference PO407123,South Coast,1,1,California Department of Forestry and Fire Protection,15000,0,,,,9.61587214452889,0,0,1
2022-02,Antelope Valley,1,1,California State Transportation Agency,1243000,35704,,34.81402643961461,,14.033039174997754,0,0,0
2022-03,Bay Area,1,1,California State Transportation Agency,49000000,242486,,202.073521770329,,17.707330876483063,0,0,0
2022-04,Sacramento Metro,1,1,California State Transportation Agency,510000,2652,,192.30769230769232,,13.1421679654829,0,0,0
2022-05,Bay Area,1,1,California State Transportation Agency,3337000,90568,,36.84524335306068,,15.02058305740383,0,0,0
2022-06,South Coast,1,1,California State Transportation Agency,450000,0,,,,13.017005083966255,0,0,1
2022-09,San Joaquin Valley Unified,1,1,California State Transportation Agency,600000,624,,961.5384615384615,,13.304686600863562,0,0,0
2022-10,Bay Area,1,1,California State Transportation Agency,8676000,101215,,85.71851998221608,,15.976071266189384,0,0,0
2022-11,San Joaquin Valley Unified,1,1,California State Transportation Agency,6175000,13526,,456.52816797279314,,15.636019602421621,0,0,0
2022-12,North Coast Unified,1,1,California State Transportation Agency,422000,15879,,26.575980855217583,,12.952762962683588,0,0,0
2022-19,San Joaquin Valley Unified,1,1,California State Transportation Agency,291800,306,,953.59477124183,,12.583827342069748,0,0,0
2022-20,Santa Barbara,1,1,California State Transportation Agency,5008000,3728,,1343.3476394849786,,15.426547391442563,0,0,0
2022-21,Bay Area,1,1,California State Transportation Agency,1433000,663,,2161.3876319758674,,14.175281404646771,0,0,0
2022-22,South Coast,1,1,California State Transportation Agency,1620000,10173,,159.24506045414333,,14.297937324492327,0,0,1
2022-23,San Joaquin Valley Unified,1,1,California State Transportation Agency,19038000,275009,,69.22682530389915,,16.761947592319913,0,0,0
2023_01,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,86122,0,,,,11.363531785985366,0,0,0
2023_02,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,124983,0,,,,11.73594100809174,0,0,0
2023_03,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,159039,0,,,,11.976911021890402,0,0,0
2023_04,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,131315,0,,,,11.785361911206444,0,0,0
2023_05,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,43410,0,,,,10.678468144195092,0,0,0
2023_06,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,20007,0,,,,9.903887472557455,0,0,0
2023_07,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,40510,0,,,,10.609328821154959,0,0,0
2023_08,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,10597,0,,,,9.268420583052707,0,0,0
2023_09,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,175383,0,,,,12.074733134691002,0,0,0
2023_10,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,103884,0,,,,11.551039797078886,0,0,0
2024_01,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,138189,0,,,,11.83638482879753,0,0,0
2024_02,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,212614,0,,,,12.267238297434021,0,0,0
2024_03,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,187552,0,,,,12.141816751116574,0,0,0
2024_04,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,82522,0,,,,11.32083232134744,0,0,0
2024_05,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,79265,0,,,,11.28056456410641,0,0,0
2024_06,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,17877,0,,,,9.791326185647797,0,0,0
2024_07,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,22815,0,,,,10.035217323214022,0,0,0
2024_08,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,21411,0,,,,9.971706791513272,0,0,0
2024_09,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,35079,0,,,,10.46538644648612,0,0,0
2024_10,Bay Area,1,1,San Francisco Bay Conservation and Development Commission,106140,0,,,,11.572523677856253,0,0,0
21,Santa Barbara,2,2,California Department of Forestry and Fire Protection,85000,0,,,,11.350418300109132,1,0,0
21-0523-000-SG,Santa Barbara,1,1,California Department of Food and Agriculture,25928,0,,,,10.163117312420749,0,0,0
21-0524-000-SG,San Joaquin Valley Unified,1,1,California Department of Food and Agriculture,15870,0,,,,9.672248823507559,0,0,0
21-0525-000-SG,Bay Area,1,1,California Department of Food and Agriculture,28787,0,,,,10.267713912627695,0,0,0
21-0526-000-SG,San Luis Obispo,1,1,California Department of Food and Agriculture,24929,0,,,,10.123827176517604,0,0,0
21-0527-000-SG,Colusa,1,1,California Department of Food and Agriculture,29399,0,,,,10.288749953326773,0,0,0
21-0528-000-SG,Glenn,1,1,California Department of Food and Agriculture,29989,0,,,,10.308619271743055,0,0,0
21-0529-000-SG,Mendocino,1,1,California Department of Food and Agriculture,29932,0,,,,10.306716829702717,0,0,0
21-0530-000-SG,Bay Area,1,1,California Department of Food and Agriculture,29648,0,,,,10.297183677044293,0,0,0
21-0531-000-SG,Tehama,1,1,California Department of Food and Agriculture,30000,0,,,,10.308985993422082,0,0,0
21-0532-000-SG,Monterey Bay Unified,1,1,California Department of Food and Agriculture,29462,0,,,,10.290890517825884,0,0,0
21-0533-000-SG,Monterey Bay Unified,1,1,California Department of Food and Agriculture,29691,0,,,,10.298632928237437,0,0,0
21-0534-000-SG,San Joaquin Valley Unified,1,1,California Department of Food and Agriculture,30000,0,,,,10.308985993422082,0,0,0
21-0535-000-SG,Yolo-Solano,1,1,California Department of Food and Agriculture,15313,0,,,,9.63652272167307,0,0,0
21-0536-000-SG,Yolo-Solano,1,1,California Department of Food and Agriculture,30000,0,,,,10.308985993422082,0,0,0
21-0537-000-SG,Yolo-Solano,1,1,California Department of Food and Agriculture,29847,0,,,,10.303873114900993,0,0,0
