Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
8GG19601,Bay Area,1,1,California Department of Forestry and Fire Protection,5833565,0,,,,15.579139035144504,0,0,0
8GG19603,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,1675200,0,,,,14.33144371604188,0,0,0
8GG19604,Monterey Bay Unified,1,1,California Department of Forestry and Fire Protection,3736368,29153,,128.16409974959694,,15.133624842190176,0,0,0
8GG19605,Bay Area,1,1,California Department of Forestry and Fire Protection,2553334,15734,,162.28130163976104,,14.752910905789966,0,0,0
8GG19606,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,5000000,11958,,418.1301220939956,,15.424948670398354,0,0,0
8GG19607,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4315393,57625,,74.88751409978308,,15.277699187717081,0,0,0
8GG19608,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,2655000,1000,,2655.0,,14.791955589305939,0,0,0
8GG19609,Colusa,1,1,California Department of Forestry and Fire Protection,1822529,104445,,17.449652927378047,,14.41573620363482,0,0,0
8GG19610,San Diego,1,1,California Department of Forestry and Fire Protection,4994675,60895,,82.02110189670745,,15.42388310309611,0,0,1
8GG19611,Feather River,1,1,California Department of Forestry and Fire Protection,4561649,37648,,121.16577241818955,,15.333194958146764,0,0,0
8GG19612,Northern Sierra,1,1,California Department of Forestry and Fire Protection,1679629,8031,,209.1431951189142,,14.334084089028233,0,0,0
8GG19613,North Coast Unified,1,1,California Department of Forestry and Fire Protection,3802897,130439,,29.154601001234294,,15.151273965619865,0,0,0
8GG19614,Shasta,1,1,California Department of Forestry and Fire Protection,1827167,10241,,178.41685382286886,,14.41827778515562,0,0,0
8GG19615,Siskiyou,1,1,California Department of Forestry and Fire Protection,4489005,41499,,108.17140172052339,,15.317141854363754,0,0,0
8GG19616,Glenn,1,1,California Department of Forestry and Fire Protection,1378469,7055,,195.38894401133948,,14.13648474642354,0,0,0
8GG19617,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4547240,64451,,70.55344370141658,,15.33003123338192,0,0,0
8GG19618,El Dorado,1,1,California Department of Forestry and Fire Protection,480000,0,,,,13.081543466215237,0,0,0
8GG19619,El Dorado,1,1,California Department of Forestry and Fire Protection,2491000,-12653,,,,14.72819519568944,0,0,0
8GG19620,Placer,1,1,California Department of Forestry and Fire Protection,3300000,-74820,,,,15.009433329466965,0,0,0
8GG19700,North Coast Unified,1,1,California Department of Forestry and Fire Protection,430000,0,,,,12.971542813248437,0,0,0
8GG19701,North Coast Unified,1,1,California Department of Forestry and Fire Protection,64964,302017,,0.2151004744766023,,11.081603942316837,0,0,0
8GG19702,North Coast Unified,1,1,California Department of Forestry and Fire Protection,2750000,182562,,15.063375729889025,,14.827111833279051,0,0,0
8GG19800,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,54369,0,,,,10.903567810139966,0,0,0
8GG19802,Northern Sierra,1,1,California Department of Forestry and Fire Protection,171145,0,,,,12.050272272373503,0,0,0
8GG19803,Northern Sierra,1,1,California Department of Forestry and Fire Protection,504496,0,,,,13.131317172276455,0,0,0
8GG19804,Tuolumne,1,1,California Department of Forestry and Fire Protection,453078,0,,,,13.023821782196473,0,0,0
8GG19805,Great Basin Unified,1,1,California Department of Forestry and Fire Protection,499825,0,,,,13.122015316838278,0,0,0
8GG19806,Great Basin Unified,1,1,California Department of Forestry and Fire Protection,499660,0,,,,13.121685147458388,0,0,0
8GG19807,Northern Sierra,1,1,California Department of Forestry and Fire Protection,499745,0,,,,13.121855248328613,0,0,0
8GG19809,Placer,1,1,California Department of Forestry and Fire Protection,88238,0,,,,11.387804321134247,0,0,0
8GG19810,Butte,1,1,California Department of Forestry and Fire Protection,50000,0,,,,10.819798284210286,0,0,0
8GG19813,Northern Sonoma,1,1,California Department of Forestry and Fire Protection,210009,0,,,,12.254910427613474,0,0,0
8GG19814,Ventura,1,1,California Department of Forestry and Fire Protection,333869,0,,,,12.71850697463558,0,0,1
8GG20600,Shasta,1,1,California Department of Forestry and Fire Protection,5000000,219780,,22.75002275002275,,15.424948670398354,0,0,0
8GG20602,Modoc,1,1,California Department of Forestry and Fire Protection,5000000,-61893,,,,15.424948670398354,0,0,0
8GG20604,Bay Area,1,1,California Department of Forestry and Fire Protection,7500000,11580,,647.6683937823834,,15.830413711839864,0,0,0
8GG20611,Shasta,1,1,California Department of Forestry and Fire Protection,4999989,-51974,,,,15.424946470396375,0,0,0
8GG20612,Monterey Bay Unified,1,1,California Department of Forestry and Fire Protection,4679175,115983,,40.343627945474765,,15.358632584015904,0,0,0
8GG20618,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,4936326,414150,,11.919174212241941,,15.412132090347129,0,0,0
8GG20619,Lassen,1,1,California Department of Forestry and Fire Protection,4999855,2002988,,2.4961981799192006,,15.424919669983646,0,0,0
8GG20620,South Coast,1,1,California Department of Forestry and Fire Protection,4998420,-44857,,,,15.424632620523054,0,0,1
